A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
24321.304792797804,36764.96857043813,0.06982067728583975,2569.1504450044595,0.008515901545712369,0.008523877500071959
167624.0887706227,36351.61333775233,0.07262366847500282,4678.6777367453415,0.002340649072116356,0.0023406326045602352
31806.582559338458,36342.854140550204,0.040000000015715534,2817.555840984959,0.004592190155197964,0.005127880670272601
151259.5325698211,36342.674799743974,0.06374084041125806,2220.7290568093117,0.00121738085803214,0.0013468293620114114
30845.66238121472,36020.87255704375,0.0458417668669469,2039.689124028976,0.0036466280315677856,0.0037212520629721674
51380.801524227194,36020.66623150862,0.05615841035946862,1866.7707833537597,0.0024018877091286665,0.002532352986541938
11103.878569778344,35941.35975184939,0.06297866997967728,1472.2097457551063,0.00964177810857543,0.00964186974346311
119632.02912154446,35928.502477462804,0.08884311846627985,1485.803952986659,0.0012741147257168634,0.0012741089430192375
63743.53395053526,35880.77639395194,0.07807774639501945,1396.3227632750416,0.0019807789416349465,0.0020191272769646816
73699.80076309234,35880.42950231445,0.07469636731339391,1426.8585145478114,0.0016763627271966879,0.001706851553561764
44417.20573117358,35852.8180156345,0.08476921840809043,1238.5732145068412,0.002729477097246287,0.002729463544403068
766170.9302342633,35839.990322083424,0.0687555149509244,1971.6842643765533,0.00020431049966685057,0.00020430910926839504
120756.8442405055,35804.27178134736,0.07042784927287304,1214.4873837091795,0.0008178941089509303,0.000817888553600914
23442.740123458367,35710.78875326611,0.05466821104896278,1432.046600824374,0.003868787860587681,0.003929304929620715
11151.572735624273,35710.532202417955,0.05707733277166109,1402.2258836970107,0.008306782889463658,0.008448218285495534
36548.7998713809,35666.32407030148,0.06404350460142026,1250.473264740688,0.0025301487696662724,0.0025301619155230996
22529.357789669182,35665.78125590646,0.04656398927670065,1561.5621059880968,0.0038439214279973747,0.004066775475090313
14307.865992186738,35665.60770350069,0.04000000003839251,1744.380294272212,0.0055527269678147745,0.006357778862982612
26176.113471262077,35644.51480631255,0.06520033891955891,1326.5620892536626,0.004053747223617103,0.004429923254866721
11526.074566165604,35644.314810228214,0.044339247622166594,1556.882579279232,0.007766751530246916,0.007744352814517727
25832.616997819445,35568.30547593387,0.07520459737650655,1277.0974554366783,0.00429309930060613,0.004293087643543098
15696.693576649639,35567.80906635684,0.07255928504998203,1300.169607268946,0.006939942449394524,0.006939920855017994
35587.73893482836,35561.87757360889,0.07614454897805073,1608.2360249461713,0.008278685659559833,0.007443046363288285
18001.945501438637,35561.698119696106,0.05762329998673331,2291.3711753176813,0.013262681208768837,0.010747449129470723
111208.64145406085,35561.1239963993,0.08619779766543853,1443.7053619837386,0.0012921322247487423,0.0012921261278892077
39938.01945197634,35460.0955013656,0.08805867258208022,1220.0198234260447,0.0031061554469924376,0.0031061414683203207
10565.143749640323,35433.02210593228,0.0637570178687658,1362.6492030282407,0.009495331459772589,0.009495165529723334
29844.849530896696,35336.10848784776,0.07355986586963538,1256.546210373868,0.0035761953479017923,0.003576172663019606
10849.685772466188,35096.032225702285,0.07908118110355526,1594.7682406781691,0.013422225674512648,0.013422152307020783
17873.550219943918,34559.982158388564,0.05927187183212183,1911.111365436778,0.00731831941189035,0.007317642281660254
16225.771916457175,34533.863476097955,0.057420973355603734,1919.1993365852322,0.007843018374689755,0.007841868360565125
123565.432722089,34390.35717649899,0.07516100954260052,2371.6269267386015,0.0035236177189866256,0.002900203470803523
116496.11540128475,34390.160810966416,0.07212707434634012,2543.6284655425766,0.0036240245280402088,0.002907902580341169
12569.107430757227,34133.136348705055,0.09802969670472828,1363.382628885255,0.012278387489283308,0.012278346185824325
29830.796928232616,34131.07899163901,0.046700351542078584,2426.410613844872,0.004479072413120581,0.004557152680102151
46871.88576058846,34130.84834992118,0.061392116640353975,2132.8976895397086,0.0032478140098151876,0.0033708335836700916
37959.94913743239,34129.50707163049,0.07387457224332235,1701.3115975133912,0.0038231763473908454,0.0038231536054817374
46397.402243921955,33941.760235341375,0.0642179644827847,2031.924224036962,0.0032516698738183753,0.0032585078486644125
21826.264175257314,33941.26790508074,0.12658300427304423,1448.5641470713026,0.009696162213421415,0.009737161861116516
22302.492495166924,33890.76445811393,0.07269986268884968,1774.2059357241592,0.0066781372359421805,0.0066780975047558075
142669.71067653512,33791.2748621384,0.0852575885959164,1606.1824711195081,0.0011083241531953676,0.0011083193195733734
141021.58402233504,33768.30373830979,0.08189625647466137,1825.0875580357815,0.0012238633231253303,0.0012238575489940979
43388.24138811826,33729.982617426554,0.05948889999496016,1725.8432212854111,0.0027364135213236093,0.0027642989413592615
81104.06213452794,33729.68338960443,0.06610371111614799,1637.8581705643894,0.001542402751392052,0.001559547106276949
15091.759645363087,33620.76157375533,0.05924718726677033,1533.864591809126,0.0069535437273603945,0.006952756689165035
24580.10606119497,33618.09963271243,0.0632733327665717,1646.733656696042,0.004894755559976862,0.004894785059275935
21069.430887276812,33617.53230522425,0.061964013992861534,1659.9772785216499,0.005637144861560074,0.005637143402803157
11359.696131786519,33613.12322681555,0.09647774265277057,1136.4245933724299,0.011144777561847733,0.01114474000073809
14803.935478382937,33490.51111543599,0.06970655815967039,1637.0100451196015,0.008900593103309425,0.00890054116648634
18198.32189636081,33482.06281277676,0.08987071635095227,1339.9829973306785,0.00763904246450741,0.007672109817525094
33633.78814363005,33481.65627309772,0.06945234059117293,1523.6862586203424,0.0036349145677273056,0.0036473990621579337
9737.333680413392,33039.78701616002,0.05805425490834532,1539.937412214068,0.010602208978172592,0.010600566929202096
9739.74596956563,33034.82379555533,0.0872833238152213,1258.514619513662,0.013023042218481249,0.0130229904488383
180105.22013852288,32959.98611038692,0.06823288176201302,1281.9168553221646,0.0005607874935727088,0.0005607845563582447
61111.194029395694,32775.92614598617,0.10659609489173916,3245.616644864565,0.01641695456819275,0.009454096471850621
15849.637842957469,32759.90355066329,0.040000000003225615,1942.537011572246,0.0059698400563325755,0.006822094168169717
80972.6323386721,32759.72413985251,0.05854985824394254,1578.8667432467653,0.0014188100287844893,0.001554195547800214
68704.96577581562,32750.67621191549,0.05629151210095057,1631.1430598724023,0.0015434402740037065,0.001542850560840983
18939.929925301287,32598.74675632669,0.06495300991713995,1243.4816814662265,0.004924160410986449,0.00492411304983116
26215.527902616024,32530.512102655688,0.05471542562184185,1402.8518095577697,0.003435932052434671,0.0035539635854870953
17137.34480036549,32530.270520046786,0.05999547773454383,1342.310634038306,0.005492590513307331,0.0057082630609597606
